country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LVA,1956,1,interm,1,47,66.43971,18.21204,5.874431,3.015735,3.033858,2.353285,2.02217,0.316955,2.446088,2.404273,1.175132,1.73241,4.640202,4.375466,2.055452,2.598357,2.93925,3.02833,2.427865,1.788404,.,.,.,.,.,.
LVA,1956,1,interm,1,48,157.5833,0,0.309025,2.875925,3.337839,4.994597,3.254717,3.79296,2.14042,2.103323,8.322572,12.26751,17.63257,16.6266,10.96989,13.86735,16.22942,16.24337,13.02258,9.592647,.,.,.,.,.,.
LVA,1956,1,interm,1,49,114.4916,0,0,0,0,0.158498,0.773047,0,0.416158,0.424158,3.041996,4.539956,4.968191,4.684743,13.19922,16.86265,19.0652,19.31661,15.5457,11.49543,.,.,.,.,.,.
LVA,1956,1,interm,1,50,48.52484,0,0,0,0,0.132341,0.187476,0.066704,1.579183,1.473306,3.50924,4.886231,5.724769,5.398158,4.735892,5.080196,5.746696,4.497148,3.30067,2.206828,.,.,.,.,.,.
LVA,1956,1,interm,1,51,333.7487,0,0,0,0,0.998352,0,0.995927,2.389288,2.348442,12.84721,18.93971,42.54352,40.11632,29.86399,37.7519,42.70477,42.74146,34.26655,25.24131,.,.,.,.,.,.
LVA,1956,1,interm,1,52,1976.9473,0,0,0.437685,2.119564,4.375184,1.330523,3.340924,4.752663,4.738463,19.861417,29.52394,63.48452,59.86258,249.789341,316.480729,357.60005,358.90645,287.992393,212.351062,.,.,.,.,.,.
LVA,1956,1,interm,1,53,9.530359,0,0.021447,0.058704,0.06051,0.128575,0.074758,0.084599,0.110059,0.108177,0.291157,0.429231,0.45982,0.433587,1.021326,1.291087,1.460472,1.461726,1.17189,0.863234,.,.,.,.,.,.
LVA,1956,1,interm,1,54,12.68862,0,0.03085,0.1296,0.141552,0.254025,0.148139,0.159798,0.153314,0.150692,0.434929,0.641186,0.744712,0.702224,1.319486,1.667995,1.7578,1.798701,1.426255,1.027366,.,.,.,.,.,.
LVA,1956,1,interm,1,55,1.314534,0,0.002959,0.008097,0.008346,0.017735,0.010311,0.011669,0.015181,0.014921,0.040159,0.059204,0.063424,0.059805,0.140873,0.178081,0.201445,0.201618,0.16164,0.119066,.,.,.,.,.,.
LVA,1956,1,interm,1,56,29.57697,0,0.06656,0.182187,0.187789,0.399026,0.232007,0.26255,0.341561,0.335722,0.903591,1.332097,1.427027,1.345612,3.169632,4.00682,4.532497,4.536391,3.6369,2.679002,.,.,.,.,.,.
