country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LTU,1956,1,interm,1,43,25.11026,7.575455,0.611809,0.567085,0.514536,0.225962,0.500582,1.625853,1.591642,1.470144,1.483216,2.596825,1.327204,1.431763,0.67431,0.641115,0.677076,0.630453,0.48639,0.478843,.,.,.,.,.,.
LTU,1956,1,interm,1,44,1.78808,0,0,0,0,0,0.017481,0.076838,0.072069,0.066567,0.06739,0.117988,0.054627,0.058932,0.236462,0.224821,0.237432,0.220257,0.169926,0.16729,.,.,.,.,.,.
LTU,1956,1,interm,1,45,5.2713,1.274972,0.102969,0.095442,0.086598,0.03803,0.055358,0.243318,0.228217,0.210796,0.213404,0.373629,0.172987,0.186616,0.374397,0.355966,0.375934,0.348741,0.269051,0.264874,.,.,.,.,.,.
LTU,1956,1,interm,1,46,35.41654,1.991811,0.737764,1.281142,1.147183,0.77856,0,3.465507,3.014549,2.784431,3.0658,5.367629,1.89678,2.046211,1.467867,1.395604,1.473892,1.38356,1.067405,1.050843,.,.,.,.,.,.
LTU,1956,1,interm,1,47,58.87885,21.25213,3.463515,2.526748,1.961026,1.771765,1.944664,1.718301,2.210076,2.041365,1.761101,3.083352,2.202194,2.375687,1.94444,1.848716,1.952419,1.90491,1.46962,1.44682,.,.,.,.,.,.
LTU,1956,1,interm,1,48,179.4838,0,0,3.388698,7.359534,7.908419,9.981497,11.7312,9.084035,8.390593,7.844986,13.73507,18.41467,19.86539,11.56813,10.99861,11.61559,10.9037,8.4121,8.281592,.,.,.,.,.,.
LTU,1956,1,interm,1,49,131.6871,0,0,0,0,0,0.001467,0.957599,1.075322,0.993238,2.23549,3.956891,6.552174,7.068355,20.27771,19.34581,20.43059,19.25616,14.87444,14.6619,.,.,.,.,.,.
LTU,1956,1,interm,1,50,41.5062,0,0,0,0,0,1.160612,0.07623,0.158931,0.146797,1.657042,2.887328,5.459536,5.88964,4.540402,4.296082,4.535882,4.233306,3.260261,3.204153,.,.,.,.,.,.
LTU,1956,1,interm,1,51,119.6504,0,0,0,0,0,0.501271,0.481768,2.297138,2.121785,4.193288,7.341646,9.770979,10.54074,15.42957,14.66996,15.49287,14.54336,11.22007,11.04599,.,.,.,.,.,.
LTU,1956,1,interm,1,52,953.0043,0,0,0,0,0,1.7846,2.492071,5.303598,4.898746,15.900261,27.803609,50.896287,54.905908,147.88996,140.55401,148.3466,139.17291,107.36184,105.69411,.,.,.,.,.,.
LTU,1956,1,interm,1,53,39.3197,0,0.10928,0.22361,0.620561,1.321595,0.413813,0.624677,0.816961,0.754598,1.19086,2.084968,2.953374,3.186044,4.684821,4.454183,4.704044,4.415749,3.406705,3.353856,.,.,.,.,.,.
LTU,1956,1,interm,1,54,20.79858,0,0.015612,0.185819,0.422834,0.561646,0.466404,0.63528,0.490853,0.453383,0.537083,0.940331,1.69061,1.823797,2.275652,2.163621,2.403307,2.278229,1.749064,1.705055,.,.,.,.,.,.
LTU,1956,1,interm,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,56,29.69753,0,0.119687,0.244906,0.679662,1.447462,0.453224,0.68417,0.894766,0.826464,1.304276,2.283536,3.234648,3.489476,2.628072,2.498689,2.638854,2.477127,1.911079,1.881431,.,.,.,.,.,.
LTU,1956,1,interm,1,57,68.52566,0,0.275801,0.564347,1.566178,3.335456,1.09285,1.644083,2.209893,2.041199,3.450239,6.039773,8.849699,9.546885,5.227118,4.969501,5.247174,4.925057,3.799635,3.740766,.,.,.,.,.,.
LTU,1956,1,interm,1,58,110.1153,0,0,0,0,0,0.808306,1.987974,2.343516,2.164621,6.197611,10.85423,23.76773,25.64016,6.803782,6.469985,6.832917,6.417801,4.951594,4.875088,.,.,.,.,.,.
LTU,1956,1,interm,1,59,207.6364,0,0,0,0,0,0.493109,1.212765,1.429663,1.320529,3.780858,6.621631,14.49953,15.64181,30.44038,28.94697,30.57075,28.71349,22.15363,21.81134,.,.,.,.,.,.
