country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
EST,1955,1,interm,1,34,22.38933,0,0.861571,0.330838,0,0.04292,0.467392,0.605713,1.723084,1.375894,0.630065,1.097782,1.628668,1.773178,1.99071,2.328175,2.464525,2.365673,1.673695,1.029443,.,.,.,.,.,.
EST,1955,1,interm,1,35,12.05565,0,0,0,0,0,1.053024,0,0,0,0.103053,0.179551,1.863005,2.028309,1.146955,1.341388,1.419947,1.362991,0.964307,0.593118,.,.,.,.,.,.
EST,1955,1,interm,1,36,1.815275,0.620763,0.065309,0,0,0.033288,0,0.016224,0,0,0.036386,0.063397,0.31616,0.344213,0.05367,0.062767,0.066444,0.063778,0.045122,0.027754,.,.,.,.,.,.
EST,1955,1,interm,1,37,6.468804,1.834075,0.192957,0,0,0.09835,0,0.047933,0,0,0.107505,0.187308,1.463374,1.593217,0.158569,0.185449,0.196312,0.188437,0.133318,0.082,.,.,.,.,.,.
EST,1955,1,interm,1,38,14.18679,0.899897,1.638396,0,0.421661,1.19566,0.668928,0.669635,0,0,0.006465,0.011265,1.401023,1.525332,0.965527,1.129206,1.195337,1.14739,0.811771,0.499298,.,.,.,.,.,.
EST,1955,1,interm,1,39,2.922515,0,0,0.17841,0.505845,0.211694,0,0,0,0,0,0,0.23296,0.253631,0.258656,0.302502,0.320219,0.307375,0.217466,0.133757,.,.,.,.,.,.
EST,1955,1,interm,1,40,13.48849,0,0,0.175223,0.496811,0.207915,0,0.029341,0.946109,0.755475,0.381387,0.664504,2.470182,2.689359,0.784746,0.917775,0.971524,0.932557,0.659776,0.405808,.,.,.,.,.,.
EST,1955,1,interm,1,41,0.796064,0.024514,0.024965,0.019456,0.042072,0.011543,0.025273,0.050381,0.061195,0.048864,0.020413,0.035565,0.109029,0.118702,0.034279,0.04009,0.042439,0.040736,0.028821,0.017727,.,.,.,.,.,.
EST,1955,1,interm,1,42,3.62652,1.532119,0.05201,0.09223,0.20695,0.061341,0,0.002208,0.129973,0.103785,0.048308,0.084167,0.358122,0.389897,0.094967,0.111065,0.117571,0.112854,0.079843,0.04911,.,.,.,.,.,.
EST,1955,1,interm,1,43,5.690398,1.189175,0.321294,0.074616,0.133044,0.165276,0.085592,0.168306,0.336861,0.268986,0.563467,0.981746,0.275114,0.299524,0.139828,0.16353,0.173108,0.163784,0.115875,0.071272,.,.,.,.,.,.
EST,1955,1,interm,1,44,1.758074,0.437185,0.168635,0.025726,0.05563,0.04383,0.034351,0.067547,0.039817,0.031794,0.035254,0.061424,0.110414,0.120211,0.089363,0.104511,0.110631,0.103494,0.073221,0.045036,.,.,.,.,.,.
EST,1955,1,interm,1,45,3.400496,1.020099,0.39348,0.060026,0.129803,0.102272,0.080153,0.157611,0.092906,0.074186,0.082258,0.143323,0.257632,0.280491,0.089363,0.104511,0.110631,0.103494,0.073221,0.045036,.,.,.,.,.,.
EST,1955,1,interm,1,46,10.82359,0.636748,0.648457,0.505365,1.092821,0.299824,0.656455,1.308642,0.740757,0.591501,0.247088,0.430509,1.31977,1.436872,0.15264,0.178515,0.188969,0.18139,0.128332,0.078933,.,.,.,.,.,.
EST,1955,1,interm,1,47,23.62206,7.770555,2.180561,0.351297,0.63602,0.76514,0.181583,0.357064,0.634186,0.506402,1.40703,2.451514,0.583658,0.635443,0.855337,1.000333,1.058916,1.04871,0.741955,0.456354,.,.,.,.,.,.
EST,1955,1,interm,1,48,107.1281,0,0,0.741796,0.39553,2.650531,0.631135,1.390185,2.286015,1.825401,2.000166,3.484956,10.68864,11.63703,11.65594,13.63186,14.43022,13.85141,9.799772,6.027559,.,.,.,.,.,.
EST,1955,1,interm,1,49,63.51001,0,0,0,0,0,0,0,1.048039,0.836868,3.146268,5.481843,6.06853,6.606984,6.772432,7.920498,8.384362,8.04806,5.693945,3.502182,.,.,.,.,.,.
EST,1955,1,interm,1,50,39.33177,0,0,0,0,0,0.011592,0.036997,1.808544,1.444136,1.722285,2.878962,2.247364,2.3666,4.696398,5.383418,5.698699,5.248373,3.613865,2.174537,.,.,.,.,.,.
EST,1955,1,interm,1,51,122.3483,0,0,0,0,0,0,0,0,0,7.72908,13.46662,15.06228,16.39874,11.70545,13.68977,14.49151,13.91025,9.8414,6.053162,.,.,.,.,.,.
EST,1955,1,interm,1,52,532.8252,0,0,0,0,0,0.500112,1.578928,0.699855,0.558839,8.068274,14.186598,28.271636,30.858672,75.02433,87.8346,92.94676,89.64835,63.52325,39.125035,.,.,.,.,.,.
EST,1955,1,interm,1,53,43.89425,0,0,0.011501,0.006133,0.041096,0.0948,0.101307,0.119325,0.095282,0.267594,0.466239,1.19854,1.304886,6.749937,7.894189,8.356513,8.021327,5.675031,3.490549,.,.,.,.,.,.
EST,1955,1,interm,1,54,5.696803,0,0,0.01746,0.00931,0.062389,0.022194,0.039607,0.061049,0.048748,0.067501,0.11761,0.442801,0.482089,0.719171,0.841084,0.903876,0.87022,0.614723,0.376971,.,.,.,.,.,.
EST,1955,1,interm,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
EST,1955,1,interm,1,56,6.876813,0,0,0.002083,0.00111,0.00744,0.017163,0.018342,0.021604,0.017252,0.048449,0.084414,0.216999,0.236253,1.042316,1.219009,1.290401,1.238642,0.876331,0.539005,.,.,.,.,.,.
EST,1955,1,interm,1,57,563.7743,0,0,0.250136,0.133373,0.893767,1.894836,2.324726,2.823892,2.254899,6.825157,11.89169,30.97809,33.72674,78.89397,92.26811,97.69035,93.7755,66.34419,40.80486,.,.,.,.,.,.
EST,1955,1,interm,1,58,144.6001,0,0,0,0,0,1.436149,0.587981,1.986559,1.5971,5.028322,8.816787,21.39529,23.30648,13.48986,15.79866,16.72392,16.06481,11.37327,6.994915,.,.,.,.,.,.
EST,1955,1,interm,1,59,386.2769,0,0,0,0,0,0.902859,0.369644,1.248882,1.004042,3.161136,5.542816,13.4505,14.652,58.01138,67.94007,71.91899,69.08458,48.90924,30.08071,.,.,.,.,.,.
EST,1955,1,interm,1,60,75.26144,0,0,0,0,0,0.168236,0.068878,0.232713,0.187091,0.589038,1.032832,2.506327,2.730211,11.36032,13.30465,14.08384,13.52878,9.577857,5.890681,.,.,.,.,.,.
EST,1955,1,interm,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
EST,1955,1,interm,1,62,410.9384,0,0,0,0,0,0,0.717414,1.015233,0.810669,3.792789,6.608298,17.54524,19.10201,60.69213,70.98069,75.13768,72.12386,51.02711,31.38531,.,.,.,.,.,.
EST,1955,1,interm,1,63,52.99191,0,0,0,0,0,0.628655,0.08399,0.287927,0.21103,0.58601,0.916581,2.321081,2.504668,7.751116,8.947157,9.471149,9.031338,6.347217,3.903991,.,.,.,.,.,.
EST,1955,1,interm,1,64,11.47113,6.128474,2.080388,0.405329,0.603774,0,0,0,0,0,0.396355,0.690583,0,0,0.19588,0.229086,0.242502,0.232775,0.164687,0.101294,.,.,.,.,.,.
EST,1955,1,interm,1,65,284.5249,168.752,27.21292,0,0.545455,1.539041,1.50056,0,1.366492,1.091153,0.188269,0.328026,5.20001,5.661399,11.94868,13.97422,14.79262,14.19928,10.04589,6.178939,.,.,.,.,.,.
EST,1955,1,interm,1,66,18.19451,13.11768,2.106288,0.419753,0.603774,0.063486,0,0.017213,0,0,0.403767,0.703496,0.105059,0.11438,0.090635,0.105998,0.112206,0.107706,0.076201,0.046868,.,.,.,.,.,.
EST,1955,1,interm,1,67,16.49081,0,0,0,0,0,0,0.05659,0,0,0.587831,1.025014,2.296923,2.510276,1.681991,1.967121,2.082326,1.998803,1.414138,0.869796,.,.,.,.,.,.
EST,1955,1,interm,1,68,132.918,0.229409,0.003115,0.211347,0,0.001587,0,0.585052,0,0,0.318797,0.547277,4.452166,4.847202,20.5043,23.9802,25.26821,24.25468,17.16002,10.55463,.,.,.,.,.,.
EST,1955,1,interm,1,69,0.201664,0,0,0,0,0,0,0.002071,0,0,0.00391,0.006811,0.073079,0.031826,0.014102,0.016494,0.01746,0.01676,0.011857,0.007294,.,.,.,.,.,.
EST,1955,1,interm,1,70,0.201664,0,0,0,0,0,0,0.002071,0,0,0.00391,0.006811,0.073079,0.031826,0.014102,0.016494,0.01746,0.01676,0.011857,0.007294,.,.,.,.,.,.
EST,1955,1,interm,1,71,68.57005,0,0,0,0,0,0,0.50931,0,0,0.40342,0.710249,7.620687,8.382794,8.556532,10.00704,10.5931,10.16821,7.193933,4.42478,.,.,.,.,.,.
EST,1955,1,interm,1,72,23.48366,6.906075,1.034846,0.797204,0,0.527459,0,0.828305,0,0,0.332335,0.579037,1.378605,1.500927,1.552477,1.815653,2.038382,1.95662,1.384294,0.85144,.,.,.,.,.,.
EST,1955,1,interm,1,73,35.63923,0,0,0,0,0,0.802051,2.398336,1.258784,1.180604,2.301482,3.681952,4.434337,4.827792,2.552785,2.985535,3.160382,2.826027,1.999392,1.229769,.,.,.,.,.,.
EST,1955,1,interm,1,74,19.49473,2.35885,0.400371,0,0,0,0,0.56754,0.321256,0.256526,0.428635,0.746823,1.446814,1.575189,1.660766,2.229681,2.360263,2.265591,1.780988,1.095434,.,.,.,.,.,.
